,Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10a,Q10b,Q10c,Q10d,Q10e,Q11,Q12a,Q12b,Q12c,Q12d,Q12e,Q13,Q14a,Q14b,Q14c,Q14d,Q14e,Q15,Q16a,Q16b,Q16c,Q16d,Q16e,Q17,Q18a,Q18b,Q18c,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,Q19h,Q19i,Q20a,Q20b,Q20c,Q20d,Q20e,Q20f,Q21a,Q21b,Q21c,Q21d,Q21e,Q21f,Q21g,Q21h,Q21i,Q21j,Q22a,Q22b,Q22c,Q22d,Q22e,Q22f,Q22g,Q23a,Q23b,Q23c,Q23d,Q23e,Q23f,Q23g,Q23h,Q23i,Q23j,Q24a,Q24b,Q24c,Q24d,Q24e,Q24f,Q24g,Q24h,Q25a,Q25b,Q25c,Q25d,Q25e,Q25f,Q25g,Q25h,Q25i,Q25j,Q26a,Q26b,Q26c,Q26d,Q26e,Q26f,Q26g,Q26h,Q26i,Q26j,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35a,Q35b,Q35c,Q35d,Q36a,Q36b,Q36c,Q36d,Q36e,Q36f,Q36g,Q36h,Q36i,Q36j,Q37,Q38a_1,Q38b_1,Q38c_1,Q38d_1,Q38e_1,Q38f_1,Q38g_1,Q38h_1,Q38i_1,Q38j_1,Q38k_1,Q38l_1,Q38m_1,Q38n_1,Q38o_1,Q38p_1,Q38a_2,Q38b_2,Q38c_2,Q38d_2,Q38e_2,Q38f_2,Q38g_2,Q38h_2,Q38i_2,Q38j_2,Q38k_2,Q38l_2,Q38m_2,Q38n_2,Q38o_2,Q38p_2,SOURCE
2467,Bosnia and Herzegovina,1,1,1,4,22,2,2,4,4,4,4,4,1,4,4,4,4,4,1,1,0,0,0,0,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
27952,Tajikistan,2,1,1,1,20,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,6,1,3,3,4,3,6,4,,12,1,1,1,1,12,5,5,5,2,2,3,1,3,1,1,4,5,4,3,5,2,5,4,1,3,5,2,4,1,1,,1,,4,5,3,5,,,,,,,,,,,2,4,2,2,3,5,3,1,1,2,1,1,1,5,2,2,1,5,1,5,3,2,3,3,1,2,1,5,5,5,2,4,1,en
26553,Slovenia,1,1,1,4,22,1,2,2,,,3,3,1,3,2,2,2,3,1,1,0,1,0,0,1,2,2,2,3,3,2,2,2,2,1,2,3,1,2,2,3,3,2,5,2,4,2,2,4,3,3,5,4,3,4,4,5,5,4,3,2,3,3,4,3,3,6,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,3,4,3,3,4,4,3,4,3,2,3,3,2,2,2,1,5,3,,3,2,,2,,3,2,3,4,2,2,2,3,4,3,2,3,3,3,2,4,4,3,4,3,3,3,1,3,1,4,1,3,2,4,3,5,2,5,4,2,3,3,5,3,2,5,5,1,2,3,1,en
2355,Bosnia and Herzegovina,1,1,1,4,22,2,2,3,5,4,2,2,2,4,5,4,4,2,4,0,0,1,0,0,3,5,3,4,3,5,3,5,4,4,4,5,3,3,3,3,4,4,3,4,3,3,4,2,2,4,5,5,5,2,5,5,5,4,4,5,5,3,5,5,5,3,4,4,5,6,2,4,3,1,1,5,4,3,6,6,1,3,6,3,3,4,2,2,1,1,1,2,1,3,3,4,2,5,2,2,4,3,2,3,4,5,,,2,,1,1,4,4,3,2,3,4,4,4,4,4,2,1,3,2,1,5,4,1,2,3,1,4,2,2,1,2,1,3,1,3,3,5,2,5,3,1,2,4,5,2,1,5,4,3,1,4,2,en
15832,Libya,1,2,3,1,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
21250,Poland,1,1,1,1,21,2,2,4,,3,2,3,4,4,,3,3,2,4,1,1,1,1,0,1,5,4,4,3,1,5,2,3,3,1,,,,,,1,,1,,1,5,2,2,2,5,5,5,5,5,5,5,5,5,1,4,3,3,4,5,5,2,6,2,6,1,1,4,3,1,1,5,1,1,1,1,1,1,1,1,1,2,3,5,5,5,5,1,4,1,2,5,5,5,2,1,2,5,4,3,3,5,,1,2,,1,1,2,2,,4,2,4,5,,5,3,3,4,5,5,1,4,5,3,2,4,4,1,2,4,1,2,1,5,1,3,5,5,1,5,4,1,3,4,3,2,5,5,5,4,1,1,1,en
26011,Slovenia,1,1,1,1,20,2,2,4,4,4,3,4,1,4,3,3,3,4,1,0,0,0,0,1,1,4,4,4,4,3,4,4,3,3,4,3,4,4,3,4,5,3,4,2,3,2,5,4,3,5,5,5,5,4,5,5,5,4,3,5,5,4,5,5,5,5,6,4,6,5,4,5,5,3,2,6,1,3,6,6,1,3,3,3,3,3,3,3,3,3,2,3,1,3,1,2,3,3,2,4,3,2,2,2,3,2,2,1,2,,2,,5,4,4,5,5,5,5,3,2,1,2,2,1,2,1,4,5,1,3,5,2,3,1,2,2,1,1,4,1,4,4,5,2,5,2,2,3,4,4,2,4,5,4,4,1,4,4,en
30541,United States of America,1,2,2,2,25,2,2,3,,,,,1,4,,,,,1,1,0,0,0,0,1,5,4,4,5,5,2,4,4,4,5,4,,3,,,,,,4,2,4,3,3,4,4,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
14047,Italy,1,1,1,2,29,2,2,4,1,1,4,4,1,1,1,1,4,,,0,0,0,0,1,5,,,,,4,1,3,,,,4,4,,,,3,,,4,2,2,4,4,4,5,5,5,4,5,5,5,5,3,2,5,5,5,5,5,5,5,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3,3,3,2,4,3,4,4,4,1,3,3,3,3,5,5,1,5,5,5,5,2,2,5,3,,1,1,1,2,,4,2,3,2,4,3,4,4,4,4,4,5,5,5,2,5,5,2,2,5,5,3,1,2,1,2,1,,3,5,4,5,1,5,4,1,5,3,5,2,1,4,5,,3,5,2,en
1498,Bangladesh,1,1,2,2,24,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,4,4,6,2,1,1,3,,4,6,1,1,3,1,,1,4,1,3,3,3,1,2,1,3,2,2,4,4,1,4,4,4,2,1,3,3,,1,1,,2,,3,4,3,3,4,4,3,5,5,3,4,3,4,,1,3,2,4,2,1,2,5,3,5,3,3,3,4,2,5,4,5,1,5,2,4,4,5,5,5,4,5,5,4,1,3,1,en
3108,Brazil,1,1,1,3,28,2,2,,,,,,,,,,,,,0,0,1,1,0,4,1,5,2,,,1,,4,4,5,5,,,,5,5,,5,5,1,5,1,2,2,1,1,3,3,1,3,3,1,2,3,3,4,4,4,5,4,3,4,3,4,3,1,3,3,1,1,3,1,1,6,1,1,1,6,1,4,4,4,4,4,4,3,4,4,4,4,4,4,5,5,4,5,5,2,2,5,3,2,1,2,,2,,1,4,4,5,4,3,5,4,5,4,4,4,4,4,2,4,3,3,3,2,4,3,3,3,1,1,1,3,1,3,3,4,1,5,4,1,5,3,5,3,4,5,5,5,5,1,1,pt
15499,Kyrgyzstan,1,1,1,4,19,1,2,3,3,3,3,3,1,3,3,3,3,3,1,1,1,1,1,0,1,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,3,2,4,2,3,4,2,5,5,1,3,4,5,4,3,3,3,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
31012,,,,,,,,2,1,5,5,1,1,2,,,,,,,,,,,,,,,,,,,1,2,2,1,1,2,2,2,1,1,2,2,5,1,5,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
23843,Portugal,1,1,1,3,,2,2,3,3,,,,1,4,,,,3,1,1,0,1,0,0,1,4,4,4,2,3,4,2,1,3,2,3,,,,,,3,,4,3,3,3,2,2,4,5,5,4,4,5,5,5,4,4,4,4,3,3,5,3,3,5,4,5,6,3,6,3,1,1,6,1,3,6,12,12,3,1,1,4,2,2,3,3,2,1,1,1,3,3,2,4,2,2,2,1,1,2,1,4,1,2,1,1,1,2,,4,2,3,4,2,,,2,3,2,,,2,,2,4,2,3,2,2,3,4,1,2,5,3,1,3,1,3,4,5,1,5,4,5,3,4,5,2,5,5,4,2,1,4,2,pt
31041,,1,2,1,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
15175,Kenya,1,1,1,4,24,1,2,,,,4,3,5,,,,4,3,5,0,0,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
12617,Iran,1,1,3,4,21,2,2,,4,3,3,1,3,,,,,1,5,0,0,0,0,1,5,5,5,,3,1,1,1,1,1,1,1,1,1,,1,3,4,1,5,1,5,1,1,1,4,4,5,5,1,5,5,5,2,3,4,4,3,4,5,5,3,4,2,6,1,1,1,1,1,1,1,9,2,,6,1,1,3,1,3,3,3,4,4,2,4,3,4,4,3,4,1,1,2,5,2,3,2,1,5,2,5,1,1,1,2,,1,4,3,5,,,,5,,5,1,1,,1,1,3,4,1,1,5,4,5,2,2,2,1,1,3,2,5,,5,2,4,5,1,2,3,4,4,4,5,5,2,2,1,2,en
22371,Poland,1,1,2,2,22,2,2,3,,,2,3,4,3,,,,3,1,0,0,1,0,0,3,3,2,4,4,2,5,2,3,4,2,1,3,4,3,2,3,3,2,5,2,4,2,3,2,3,1,5,2,1,5,2,5,3,1,5,4,1,5,5,2,2,6,4,5,3,1,5,4,1,1,5,12,,1,12,12,3,3,1,2,5,2,5,3,3,3,3,1,5,3,3,3,2,2,3,4,3,4,2,3,2,4,1,,,1,1,5,3,3,5,4,4,4,4,4,4,4,4,,4,2,4,4,4,4,1,5,4,1,3,1,4,1,3,1,5,3,5,2,5,4,1,5,4,1,1,1,4,5,2,1,5,1,en
27466,Spain,2,1,1,3,19,2,2,2,4,2,2,4,2,2,4,2,2,4,1,0,0,1,0,0,3,3,2,4,4,4,4,2,3,2,2,4,3,3,3,3,2,2,5,5,2,3,4,2,2,2,5,5,5,5,5,5,5,4,4,4,4,4,4,4,2,2,3,3,6,5,1,6,1,1,1,1,1,,3,6,3,3,3,3,2,3,3,5,4,4,4,3,4,4,1,3,4,4,1,2,5,4,1,4,3,5,,1,2,,2,,2,2,2,5,2,5,5,5,5,5,5,5,5,5,2,4,5,3,1,3,5,1,1,1,2,1,1,3,2,2,4,4,1,5,4,1,1,1,2,1,5,5,5,3,4,2,1,en
10770,India,1,1,1,3,19,2,2,3,2,4,5,3,4,3,3,4,4,4,4,1,0,0,0,0,1,4,4,4,4,4,3,4,4,3,3,3,3,3,3,5,4,5,4,4,3,3,4,3,3,5,5,5,5,2,5,5,5,5,5,3,4,4,4,4,4,4,6,1,3,6,3,6,4,2,2,2,1,1,1,1,1,1,1,1,3,5,3,2,2,1,1,3,2,3,1,1,1,2,2,4,2,4,2,4,3,,,1,1,,1,,5,3,4,5,3,,,5,5,4,4,4,5,4,2,4,1,3,3,4,2,5,3,3,2,1,1,5,2,1,1,5,1,1,1,1,4,3,4,3,4,5,5,5,1,1,1,en
10513,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
25035,Romania,1,1,2,2,,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,5,2,4,4,1,3,1,1,1,2,1,4,4,,1,4,,,5,1,5,4,4,4,2,4,4,3,4,4,4,4,3,3,5,5,1,1,5,4,5,5,3,5,2,4,4,3,2,1,6,1,3,7,1,1,3,1,1,2,4,1,5,3,5,5,1,3,4,4,3,3,3,3,3,5,3,2,1,4,1,3,2,1,4,2,,5,3,4,1,5,5,5,5,5,5,5,5,5,5,1,3,5,5,1,4,2,4,2,2,1,1,1,3,3,4,4,5,1,5,5,1,5,2,5,3,1,3,5,1,2,1,1,ro
6307,Ecuador,1,2,,3,,2,2,3,4,4,3,4,4,3,4,4,3,4,1,1,0,0,1,1,1,5,3,4,5,1,4,4,4,5,1,3,3,,,2,3,5,5,5,2,5,3,3,4,2,2,1,5,1,4,4,5,3,2,3,3,4,5,5,5,5,4,3,3,6,1,4,1,1,1,6,1,12,12,12,12,12,1,1,3,1,1,4,3,4,2,2,4,5,2,2,1,3,1,3,4,3,5,1,,2,,1,2,,2,,1,3,3,1,5,,,,,,,,,,1,3,5,4,4,4,4,4,2,2,1,1,1,1,3,5,3,5,1,1,1,1,3,1,1,5,1,5,4,1,1,2,1,es
25263,Russia,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
27900,Taiwan,1,1,1,2,19,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,1,1,1,1,1,12,12,12,12,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
21810,Poland,1,1,1,3,21,2,2,3,3,3,5,4,4,3,3,,4,,1,1,1,1,0,0,3,3,4,4,5,3,3,4,3,,4,4,,,,3,4,3,4,4,4,1,3,3,,4,5,5,4,3,4,4,5,3,3,4,4,3,4,5,3,3,6,2,5,4,1,1,4,3,3,6,1,3,3,1,1,3,12,,2,2,4,3,2,4,5,3,3,2,3,4,4,4,5,3,5,3,5,5,4,5,,1,2,,2,,1,3,,,,,,,,,4,,3,4,1,4,3,2,3,1,5,3,2,1,1,4,1,5,1,4,5,5,3,3,4,1,5,3,2,1,1,5,5,5,1,4,4,en
28095,Thailand,1,1,1,4,20,2,2,5,4,4,4,3,1,4,4,3,3,3,1,1,0,1,1,0,1,5,5,5,5,5,3,5,4,5,5,5,5,3,3,3,5,5,4,5,3,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,1,4,2,1,1,5,1,3,3,1,1,3,3,1,4,5,5,4,2,3,4,4,1,4,1,1,2,2,3,3,2,4,4,4,3,2,5,1,1,1,2,,1,3,3,4,5,5,5,5,5,5,5,5,5,5,1,4,5,5,3,4,1,5,4,1,3,3,4,4,1,3,4,5,1,5,4,1,2,3,5,1,5,5,5,3,4,4,2,en
29349,Turkey,1,1,1,1,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tr
12658,Iran,1,1,1,3,20,2,2,,,3,,2,5,,,3,,2,5,0,0,0,1,0,4,3,2,2,2,3,2,2,2,3,3,3,3,3,3,5,3,,,,3,4,2,1,1,3,5,5,4,1,5,3,5,3,3,3,3,3,4,4,4,4,2,1,6,5,1,6,1,1,2,3,1,3,3,3,3,3,3,1,1,2,2,4,3,4,3,2,3,5,4,2,5,4,4,4,3,3,5,1,2,5,,,2,,2,,1,2,3,3,,,,5,5,5,5,5,5,,2,4,3,2,2,4,2,3,1,,2,1,1,2,1,2,3,5,1,5,4,1,1,1,5,,5,5,5,1,1,1,1,en
11624,India,1,1,1,3,22,2,2,3,3,2,4,3,1,3,3,2,4,3,1,0,0,0,0,1,1,2,2,4,5,3,2,4,4,4,5,,,,,,,4,4,4,2,4,3,5,4,5,5,5,5,1,5,5,5,4,3,5,5,5,5,5,4,3,4,2,4,3,5,4,1,1,1,4,1,3,3,1,1,3,12,1,2,2,1,1,1,1,1,1,1,2,1,3,3,5,1,3,5,5,2,1,5,5,,1,1,,2,,3,5,3,4,2,4,1,1,5,4,4,3,5,4,1,4,5,1,1,1,5,5,2,1,1,1,1,3,1,1,5,5,2,5,1,4,5,3,5,1,5,5,5,4,2,2,2,en
30895,Uzbekistan,1,1,1,2,19,1,2,3,3,3,3,3,1,3,3,3,3,3,4,0,0,1,0,0,4,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5,5,5,5,1,4,4,4,4,4,5,5,4,5,5,5,5,1,2,2,3,1,1,2,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
18687,New Zealand,2,1,2,2,27,2,2,3,3,,2,3,2,3,3,,2,3,2,1,0,1,0,0,1,4,4,2,4,4,4,3,3,2,3,3,4,3,3,3,4,,,4,2,3,3,3,4,4,5,5,5,1,4,4,5,4,4,4,4,4,4,4,4,3,5,1,4,5,3,4,4,2,2,2,3,3,6,3,1,3,1,3,2,2,3,4,4,5,2,3,4,4,2,2,3,3,2,2,5,4,3,5,4,3,,1,1,1,2,,5,4,4,4,4,5,5,,,,,,,,2,3,4,2,1,4,3,4,2,2,2,2,1,3,1,3,4,5,1,5,4,2,3,4,4,2,2,4,3,3,1,4,2,en
18004,Mexico,1,2,3,2,47,1,2,2,,,,,1,3,,,,,1,1,0,0,0,0,1,4,4,4,4,4,4,3,2,2,3,3,2,2,2,1,1,2,2,3,2,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,2,1,6,3,3,3,1,2,6,1,3,6,6,1,1,3,3,3,4,4,2,2,3,2,3,2,2,3,4,4,4,4,5,4,4,4,2,2,1,5,1,1,1,2,,2,4,4,4,5,3,3,5,4,5,5,5,5,5,1,3,4,2,2,5,4,2,2,4,2,2,1,4,1,4,3,5,2,5,5,1,5,3,5,5,4,4,5,4,1,2,1,es
25675,Serbia,1,1,1,2,21,2,2,4,,5,4,,3,,,,3,3,4,0,0,1,0,0,3,4,3,4,4,3,3,4,3,3,4,3,4,,3,4,4,3,,5,2,4,3,3,3,4,5,5,5,5,5,5,5,4,5,4,3,3,3,4,4,2,6,4,5,1,1,3,2,1,1,5,1,3,6,2,4,3,,3,3,3,2,5,3,5,2,2,3,4,3,3,4,4,5,4,4,3,4,5,4,1,2,1,2,,2,,3,4,3,3,4,5,5,5,4,5,5,5,5,5,1,4,4,4,3,3,3,2,2,1,1,2,1,3,1,2,4,5,2,5,5,1,4,3,5,1,3,5,4,4,3,4,2,en
22458,Poland,1,1,1,4,21,2,2,4,,,4,4,1,4,,,4,4,1,0,1,1,0,0,2,4,4,4,4,4,3,4,4,,4,4,,,,4,4,4,,3,3,2,4,4,,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,3,6,2,4,1,1,4,4,2,1,4,1,3,3,3,1,3,1,3,3,3,3,3,2,2,1,3,3,3,1,1,2,2,1,1,1,1,1,1,2,5,,1,2,,2,,4,4,4,4,,,,,,,,,,,2,4,4,2,2,1,3,2,2,2,2,2,1,3,5,2,2,5,2,4,5,4,5,4,4,4,4,4,5,4,5,4,4,en
30167,United Arab Emirates,2,1,1,3,21,2,2,4,4,3,3,4,1,,3,,,,2,0,0,1,0,0,3,3,4,4,4,4,4,4,3,3,4,4,3,4,3,3,3,3,3,4,2,3,4,3,2,2,1,5,5,3,5,5,5,4,4,4,4,4,4,4,3,3,4,2,4,3,2,3,2,1,1,1,1,1,3,1,1,1,1,1,1,2,1,4,4,4,1,3,4,4,1,2,4,4,4,3,4,1,2,3,3,5,,3,1,2,1,1,4,3,4,4,3,5,5,4,5,4,5,5,5,5,1,4,3,2,2,4,2,3,1,2,1,1,1,3,1,4,4,5,1,5,2,1,3,1,3,1,3,5,5,4,2,2,2,en
22209,Poland,1,1,1,4,21,2,2,3,,,,,1,3,,,,,1,0,1,1,0,0,2,3,3,4,3,4,2,2,2,2,3,3,,,,3,3,,3,2,1,1,3,3,2,5,5,5,5,5,5,5,5,4,3,4,4,3,5,5,5,3,6,1,4,3,1,1,1,2,1,6,1,3,3,3,1,3,3,3,3,2,1,4,4,4,3,2,4,4,1,2,2,2,2,2,2,1,3,3,1,5,,1,2,,2,,4,3,3,3,,,2,,,,3,,,,1,5,4,1,5,5,3,5,1,1,4,2,1,4,1,5,4,5,1,5,5,1,2,1,1,1,5,5,5,3,1,5,2,en
16673,Mexico,1,1,1,4,23,1,2,3,3,1,4,4,5,3,3,4,2,4,5,0,0,0,1,1,5,4,4,4,4,3,3,1,1,1,4,1,1,1,1,1,1,4,1,4,3,1,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,5,6,1,5,3,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,4,1,1,1,1,3,1,1,2,1,1,4,1,3,1,3,2,5,,1,1,1,2,,3,3,2,3,5,5,5,5,5,5,5,5,5,5,2,3,5,4,1,1,4,1,1,1,2,5,1,3,1,5,3,4,1,5,4,5,4,3,1,1,5,5,5,1,3,4,1,es
7025,Ecuador,1,1,1,4,27,2,2,,4,4,,,2,,,4,,,,0,0,0,0,0,,,,,,,1,,,,4,4,4,4,3,3,1,3,4,4,1,1,3,4,4,3,2,1,1,1,1,1,2,1,4,4,4,3,4,4,4,4,6,4,4,1,2,2,1,1,1,6,1,3,6,1,1,1,1,1,4,4,3,3,3,3,2,4,3,2,2,1,2,4,3,2,4,3,4,1,4,5,,1,2,,1,4,3,4,3,3,3,5,4,4,5,4,4,4,4,4,1,4,3,3,4,4,1,3,1,1,3,1,1,3,1,4,2,5,2,1,3,2,3,4,1,1,4,5,5,5,1,1,3,es
9937,Hungary,1,1,1,4,21,1,2,4,3,,1,1,4,4,3,,1,1,4,0,1,0,0,0,2,5,4,5,5,3,5,2,3,,2,,,,,,,,,5,1,5,2,1,3,4,5,5,5,5,5,5,5,5,2,5,2,4,5,5,4,4,4,2,2,6,1,3,3,1,1,1,1,1,1,1,1,3,1,1,2,3,3,5,4,4,2,2,3,4,4,5,4,3,5,2,2,3,3,3,5,3,,1,2,,1,1,3,4,3,4,5,3,5,,5,5,4,4,5,4,2,4,3,4,3,1,4,3,2,3,1,3,1,3,1,2,4,5,2,5,5,5,5,3,5,1,1,4,4,3,1,3,1,en
8198,Georgia,1,1,1,2,21,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
24289,Romania,1,1,1,3,24,2,2,4,,,,4,1,4,,,,4,1,0,0,1,0,0,1,3,3,2,4,5,2,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,4,2,2,4,5,5,5,2,5,5,5,3,3,5,5,5,5,5,5,3,3,2,4,6,1,4,1,1,1,1,4,4,3,1,1,4,1,1,3,3,2,4,4,5,2,2,4,3,5,5,4,4,2,1,4,4,1,1,3,5,,1,2,,1,1,2,3,3,2,4,4,4,3,5,3,3,3,5,4,2,4,4,2,2,1,1,,1,1,1,1,1,4,1,2,4,4,2,5,4,5,2,,5,4,5,4,5,2,3,2,2,ro
30040,United Arab Emirates,1,2,2,2,41,1,2,5,5,5,5,5,1,5,5,5,5,5,1,1,0,0,0,0,1,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,2,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,1,1,5,4,4,1,4,1,1,1,1,1,1,1,1,5,5,5,1,1,2,,4,1,1,3,3,4,4,3,5,5,5,4,1,1,1,5,2,1,1,1,1,5,5,5,5,4,4,4,4,4,4,4,4,4,4,2,3,4,4,5,5,4,4,4,4,1,5,1,4,1,2,5,5,2,2,3,1,2,2,5,5,5,,5,2,4,3,2,en
18676,New Zealand,1,1,1,2,19,2,2,,4,,,4,2,4,,,,,1,0,1,1,1,0,2,4,,,5,,5,4,4,3,4,4,,,,,4,4,,5,1,4,3,2,2,3,2,5,4,1,5,5,5,3,3,3,2,4,3,3,3,2,4,3,4,6,1,6,1,1,1,5,1,1,3,3,1,3,12,1,2,2,2,4,3,5,2,2,3,3,5,4,5,2,2,2,2,4,5,3,3,2,5,1,1,1,2,,5,5,,,4,5,5,5,,,,,,,1,4,3,3,2,2,4,4,1,3,1,3,1,3,1,4,4,4,1,5,3,2,2,1,1,1,1,5,1,1,1,2,2,en
7682,Egypt,1,1,1,4,21,2,2,3,5,3,3,4,2,,5,4,,4,2,0,0,0,0,1,2,3,3,3,3,4,3,3,3,4,3,4,3,4,4,3,3,4,4,3,2,3,3,4,3,4,2,4,2,2,4,3,5,4,4,4,4,4,4,2,4,2,4,4,2,3,2,3,4,4,3,3,1,3,3,1,3,3,1,1,5,5,5,5,1,1,1,3,1,1,3,5,5,4,4,3,3,3,3,1,5,3,4,1,2,,2,,3,3,2,4,4,3,4,3,3,4,5,3,3,4,1,5,2,4,4,3,2,4,3,2,3,2,4,3,2,2,2,4,2,4,4,3,2,4,3,4,4,4,2,4,3,4,4,en
20968,Poland,1,1,1,3,21,2,2,5,4,,3,2,4,,,,,,,0,0,1,0,0,1,4,2,2,3,3,2,3,2,,2,4,,2,1,4,2,2,,5,2,4,3,3,3,4,5,5,5,5,5,5,5,3,4,4,4,4,4,3,5,2,,1,5,2,2,4,3,1,1,1,1,3,1,1,1,3,1,12,1,2,1,4,4,5,4,3,4,4,2,5,5,5,5,1,5,3,4,4,4,3,,,2,,2,,3,2,5,,,1,1,,,,,1,,,1,5,4,2,1,5,3,1,1,1,1,1,1,3,1,5,5,5,2,2,2,1,3,1,4,1,1,5,5,1,1,5,1,en
